日期	区县	诊断	来源口径	计数
2022-03-29	浦东	无症状	闭环	1822
2022-03-29	浦东	无症状	社会面	192
2022-03-29	黄浦	确诊	闭环	0
2022-03-29	黄浦	确诊	社会面	6
2022-03-29	黄浦	确诊	转诊	0
2022-03-29	黄浦	无症状	闭环	57
2022-03-29	黄浦	无症状	社会面	47
2022-03-29	静安	确诊	闭环	0
2022-03-29	静安	确诊	社会面	7
2022-03-29	静安	确诊	转诊	1
2022-03-29	静安	无症状	闭环	156
2022-03-29	静安	无症状	社会面	11
2022-03-29	徐汇	确诊	闭环	5
2022-03-29	徐汇	确诊	社会面	25
2022-03-29	徐汇	确诊	转诊	4
2022-03-29	徐汇	无症状	闭环	968
2022-03-29	徐汇	无症状	社会面	98
2022-03-29	长宁	确诊	闭环	1
2022-03-29	长宁	确诊	社会面	2
2022-03-29	长宁	确诊	转诊	0
2022-03-29	长宁	无症状	闭环	27
2022-03-29	长宁	无症状	社会面	0
2022-03-29	普陀	确诊	闭环	0
2022-03-29	普陀	确诊	社会面	5
2022-03-29	普陀	确诊	转诊	1
2022-03-29	普陀	无症状	闭环	99
2022-03-29	普陀	无症状	社会面	8
2022-03-29	虹口	确诊	闭环	0
2022-03-29	虹口	确诊	社会面	7
2022-03-29	虹口	确诊	转诊	0
2022-03-29	虹口	无症状	闭环	49
2022-03-29	虹口	无症状	社会面	17
2022-03-29	杨浦	确诊	闭环	0
2022-03-29	杨浦	确诊	社会面	3
2022-03-29	杨浦	确诊	转诊	0
2022-03-29	杨浦	无症状	闭环	88
2022-03-29	杨浦	无症状	社会面	8
2022-03-29	宝山	确诊	闭环	1
2022-03-29	宝山	确诊	社会面	30
2022-03-29	宝山	确诊	转诊	2
2022-03-29	宝山	无症状	闭环	270
2022-03-29	宝山	无症状	社会面	60
2022-03-29	闵行	确诊	闭环	4
2022-03-29	闵行	确诊	社会面	20
2022-03-29	闵行	确诊	转诊	5
2022-03-29	闵行	无症状	闭环	914
2022-03-29	闵行	无症状	社会面	45
2022-03-29	嘉定	确诊	闭环	0
2022-03-29	嘉定	确诊	社会面	7
2022-03-29	嘉定	确诊	转诊	2
2022-03-29	嘉定	无症状	闭环	233
2022-03-29	嘉定	无症状	社会面	13
2022-03-29	金山	确诊	闭环	0
2022-03-29	金山	确诊	社会面	2
2022-03-29	金山	确诊	转诊	0
2022-03-29	金山	无症状	闭环	23
2022-03-29	金山	无症状	社会面	1
2022-03-29	松江	确诊	闭环	2
2022-03-29	松江	确诊	社会面	13
2022-03-29	松江	确诊	转诊	0
2022-03-29	松江	无症状	闭环	210
2022-03-29	松江	无症状	社会面	4
2022-03-29	青浦	确诊	闭环	0
2022-03-29	青浦	确诊	社会面	0
2022-03-29	青浦	确诊	转诊	0
2022-03-29	青浦	无症状	闭环	85
2022-03-29	青浦	无症状	社会面	2
2022-03-29	奉贤	确诊	闭环	0
2022-03-29	奉贤	确诊	社会面	1
2022-03-29	奉贤	确诊	转诊	0
2022-03-29	奉贤	无症状	闭环	77
2022-03-29	奉贤	无症状	社会面	18
2022-03-29	崇明	确诊	闭环	0
2022-03-29	崇明	确诊	社会面	1
2022-03-29	崇明	确诊	转诊	0
2022-03-29	崇明	无症状	闭环	53
2022-03-29	崇明	无症状	社会面	1
2022-03-30	浦东	确诊	闭环	2
2022-03-30	浦东	确诊	社会面	246
2022-03-30	浦东	确诊	转诊	1
2022-03-30	浦东	无症状	闭环	1660
2022-03-30	浦东	无症状	社会面	298
2022-03-30	黄浦	确诊	闭环	3
2022-03-30	黄浦	确诊	社会面	13
2022-03-30	黄浦	确诊	转诊	0
2022-03-30	黄浦	无症状	闭环	275
2022-03-30	黄浦	无症状	社会面	70
2022-03-30	静安	确诊	闭环	1
2022-03-30	静安	确诊	社会面	7
2022-03-30	静安	确诊	转诊	0
2022-03-30	静安	无症状	闭环	78
2022-03-30	静安	无症状	社会面	16
2022-03-30	徐汇	确诊	闭环	0
2022-03-30	徐汇	确诊	社会面	15
2022-03-30	徐汇	确诊	转诊	0
2022-03-30	徐汇	无症状	闭环	294
2022-03-30	徐汇	无症状	社会面	95
2022-03-30	长宁	确诊	闭环	0
2022-03-30	长宁	确诊	社会面	2
2022-03-30	长宁	确诊	转诊	6
2022-03-30	长宁	无症状	闭环	108
2022-03-30	长宁	无症状	社会面	12
2022-03-30	普陀	确诊	闭环	1
2022-03-30	普陀	确诊	社会面	3
2022-03-30	普陀	确诊	转诊	2
2022-03-30	普陀	无症状	闭环	111
2022-03-30	普陀	无症状	社会面	29
2022-03-30	虹口	确诊	闭环	0
2022-03-30	虹口	确诊	社会面	1
2022-03-30	虹口	确诊	转诊	0
2022-03-30	虹口	无症状	闭环	29
2022-03-30	虹口	无症状	社会面	54
2022-03-30	杨浦	确诊	闭环	1
2022-03-30	杨浦	确诊	社会面	2
2022-03-30	杨浦	确诊	转诊	0
2022-03-30	杨浦	无症状	闭环	91
2022-03-30	杨浦	无症状	社会面	6
2022-03-30	宝山	确诊	闭环	0
2022-03-30	宝山	确诊	社会面	1
2022-03-30	宝山	确诊	转诊	0
2022-03-30	宝山	无症状	闭环	485
